"","ID","Nombre","code","Longitud","Latitud","Categoria","Description"
"1","25274960","IMSS",2110,-105.231610935647,20.6377940778768,"hospital","A hospital"
"2","25305847","Hospital Naval",2110,-105.244818633333,20.6619567,"hospital","A hospital"
"3","25364122","Hospital San Angel Inn Universidad",2110,-99.1678669612146,19.3595849232549,"hospital","A hospital"
"4","27804337","Hospital ABC",2110,-99.2040161882709,19.4002322314142,"hospital","A hospital"
"5","28932717","Seguro Social",2110,-99.2002781839387,19.3368637279625,"hospital","A hospital"
"6","28932842","Hosp. Angeles del Pedregal",2110,-99.2210939194983,19.312337631243,"hospital","A hospital"
"7","30373861","Hospital Español",2110,-99.1962999187694,19.4395381024607,"hospital","A hospital"
"8","30374094","Hospital Central Militar",2110,-99.2161885713545,19.4373311860183,"hospital","A hospital"
"9","30812705","H. ABC de Sta Fe",2110,-99.2828104202767,19.3565221892329,"hospital","A hospital"
"10","30812747","H. ABC de Sta Fe",2110,-99.2825219447806,19.3571187690441,"hospital","A hospital"
"11","30910883","Hospital Darío Fernández (ISSSTE)",2110,-99.1885421947696,19.3634993669163,"hospital","A hospital"
"12","30911592","Angeles Interlomas",2110,-99.28186509152,19.3946112464808,"hospital","A hospital"
"13","30965126","H. ABC de Sta Fe",2110,-99.2824826314934,19.3565549772063,"hospital","A hospital"
"14","31054480","Mocel",2110,-99.1847986504995,19.4108188626785,"hospital","A hospital"
"15","31054483",NA,2110,-99.18493,19.410615,"hospital","A hospital"
"16","32073981","Instituto Mexicano del Seguro Social Hospital General de Zona 1",2110,-98.247283552237,19.2989303593245,"hospital","A hospital"
"17","39544321","Centro Medico Siglo XXI",2110,-99.1531208430177,19.4085548208136,"hospital","A hospital"
"18","39914836","Instituto Mexicano del Seguro Social Clínica 8",2110,-98.2280054811943,19.3254477536258,"hospital","A hospital"
"19","48992599","Hospital Regional",2110,-96.1315845489805,19.1855959973973,"hospital","A hospital"
"20","50775432","IMSS",2110,-104.682735300976,24.0281173069726,"hospital","A hospital"
"21","50897835",NA,2110,-96.1564412360141,19.1992897507837,"hospital","A hospital"
"22","51182596","Sociedad Española de Beneficencia",2110,-96.1304826118518,19.1940696807731,"hospital","A hospital"
"23","51652707","Seguro Social",2110,-99.9869405952102,20.3767426974463,"hospital","A hospital"
"24","53780431","Hospital Angeles",2110,-101.021630248482,22.1527633767512,"hospital","A hospital"
"25","74426096","Hospital General Tarimoya",2110,-96.1836207688706,19.1926821355453,"hospital","A hospital"
"26","79682915","Hospital Ángeles Lindavista",2110,-99.1294322176133,19.4866195855786,"hospital","A hospital"
"27","79683408","Hospital 1º de Octubre ISSSTE",2110,-99.1330821705942,19.4866981003813,"hospital","A hospital"
"28","79683964","Hospital de Gineco Pediatría 3A",2110,-99.1355296204473,19.486008420283,"hospital","A hospital"
"29","83804019","Hospital General",2110,-110.962084695062,29.0868092474385,"hospital","A hospital"
"30","93659100","Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado",2110,-98.2364424523597,19.3107330586221,"hospital","A hospital"
"31","93987248","Hospital Regional Materno Infantil de Alta Especialidad",2110,-100.223372609847,25.6944987298892,"hospital","A hospital"
"32","93988340","Hospital Metropolitano Dr. Bernardo Sepulveda",2110,-100.274325903733,25.7142505824886,"hospital","A hospital"
"33","94811715","SESA",2110,-98.1508300680455,19.4100727149971,"hospital","A hospital"
"34","94811745","IMSS",2110,-98.1501577530235,19.410525993951,"hospital","A hospital"
"35","95827201","Hospital General de Tlaxcala ""Dr. Miguel Lima Ramírez""",2110,-98.2438860753551,19.3187028016253,"hospital","A hospital"
"36","96664794",NA,2110,-98.2337729128557,19.1760692739825,"hospital","A hospital"
"37","96664806","OPD Salud",2110,-98.2340473823423,19.1763977181444,"hospital","A hospital"
"38","96949275","Centro Hospitalario La Concepcion",2110,-100.981455653402,25.4614237124857,"hospital","A hospital"
"39","97098118","IMSS - Hospital General de Zona 2",2110,-100.987335635763,25.4541543168848,"hospital","A hospital"
"40","97189778","Clínica Julyzen",2110,-98.2436563576802,19.3130412946141,"hospital","A hospital"
"41","97564883","Hospital de Especialidades Manuel Avila Camacho (IMSS San José)",2110,-98.1918321820339,19.051096947286,"hospital","A hospital"
"42","98026285",NA,2110,-98.2169775621544,19.3352685188197,"hospital","A hospital"
"43","98026344",NA,2110,-98.2051822478997,19.3384800952176,"hospital","A hospital"
"44","98064748",NA,2110,-98.2227708812854,19.3296170140995,"hospital","A hospital"
"45","98964283","Hospital Central de Apizaco",2110,-98.1431481467527,19.4073953374862,"hospital","A hospital"
